"osm_id";"ref_insee"
-2515670;"65250"
-550624;"27657"
-126523;"17015"
-119318;"23121"
-2460589;"07256"
-108428;"35066"
-1993527;"53082"
-169848;"38544"
-111628;"68062"
-2437679;"89096"
-907930;"67027"
-399315;"22004"
-164280;"69298"
-122349;"69282"
-10680;"69382"
-2646516;"64105"
-122432;"46049"
-2242091;"64426"
-2173610;"28126"
-3012412;"80297"
-1107347;"50210"
-79701;"73081"
-75979;"40312"
-150403;"02831"
-1060300;"50230"
-2678307;"10227"
-145607;"78558"
-74127;"02408"
-140124;"01344"
-82943;"38156"
-140055;"69189"
-2468232;"65224"
-133374;"32449"
-120031;"23198"
-387142;"22040"
-1172734;"67381"
-1478308;"81006"
-2906364;"62883"
-145804;"14062"
-140528;"01336"
-111363;"16085"
-2474161;"54330"
-123554;"46187"
-2694929;"241000454"
-2439545;"65372"
-111308;"16011"
-143613;"69155"
-2950535;"02803"
-2531635;"64500"
-2718490;"80778"
-1380265;"64491"
-76396;"95369"
-113042;"54542"
-450627;"95678"
-2132547;"04024"
-1777899;"89292"
-1874875;"54179"
-123373;"35138"
-120316;"23202"
-1231762;"27045"
-957537;"89196"
-7395;"08"
-610955;"29095"
-144915;"56080"
-2575600;"07112"
-2804536;"76063"
-125532;"32407"
-113112;"54352"
-2015121;"64268"
-77995;"44130"
-272395;"49274"
-325201;"49182"
-1209766;"66222"
-149145;"25213"
-165392;"45329"
-1160512;"62362"
-163067;"83035"
-3333692;"89225"
-1014008;"50379"
-396531;"30021"
-123379;"35162"
-123679;"25526"
-1964164;"64099"
-124859;"56049"
-9528;"75110"
-1361504;"60099"
-122724;"46102"
-153649;"02688"
-1623995;"81303"
-1236429;"19264"
-423229;"60132"
-1540177;"76320"
-1166322;"62409"
-555915;"95139"
-280609;"14737"
-2713147;"51499"
-3330279;"27075"
-2960379;"54486"
-73864;"04152"
-109621;"72354"
-76068;"30329"
-125625;"17154"
-147904;"39349"
-154496;"17295"
-3218631;"24468"
-2341064;"1411805"
-1066727;"50551"
-543308;"27401"
-55561;"59136"
-417526;"51294"
-254296;"16413"
-330993;"91115"
-109390;"33236"
-2124265;"09231"
-275460;"29165"
-74284;"66218"
-121602;"63344"
-1431440;"54435"
-79391;"73022"
-130956;"14021"
-2755052;"24195"
-453035;"25612"
-3118243;"2B344"
-396065;"30244"
-158716;"60609"
-415578;"26171"
-153504;"02638"
-128279;"73012"
-1414678;"77046"
-1151630;"62262"
-1628367;"53090"
-3061829;"71088"
-939639;"42260"
-1772548;"63169"
-1244735;"61024"
-2147774;"64180"
-55901;"59422"
-3328362;"27475"
-2307768;"71294"
-3088083;"89385"
-276926;"28068"
-271973;"38403"
-148015;"21465"
-167091;"37079"
-2996871;"10075"
-2327082;"65182"
-1078990;"60374"
-110584;"33029"
-957289;"25045"
-953432;"78053"
-269776;"66129"
-104667;"76499"
-1019741;"50081"
-2429183;"57367"
-276405;"34152"
-106450;"74126"
-1778308;"10196"
-1983545;"247700446"
-3000561;"10257"
-1997334;"11078"
-1480404;"31039"
-104331;"33109"
-149660;"79131"
-120136;"59436"
-1973266;"161"
-1746535;"80799"
-172593;"14316"
-409124;"50283"
-148182;"21142"
-2963850;"55583"
-1522338;"81175"
-164939;"45083"
-2995610;"80704"
-2904531;"03117"
-1903472;"54239"
-3221594;"24252"
-150034;"21230"
-116637;"87148"
-2128653;"242101376"
-1821439;"65422"
-125084;"32355"
-1815026;"10164"
-145995;"35277"
-1780621;"54272"
-2950752;"24057"
-395862;"22135"
-107591;"72284"
-1107422;"50568"
-157539;"88493"
-2885226;"71583"
-2388892;"51484"
-2092735;"245000807"
-3012405;"80269"
-128238;"73131"
-103775;"01073"
-115244;"95428"
-153617;"02652"
-1368385;"05172"
-153025;"02306"
-452915;"71309"
-296210;"29120"
-135640;"81063"
-2225316;"11111"
-1632327;"16412"
-120518;"23258"
-2070841;"11275"
-1018528;"30236"
-146033;"25349"
-73267;"2A032"
-191488;"18140"
-111057;"35108"
-107551;"72377"
-3217681;"24117"
-112862;"17051"
-171431;"37163"
-1283398;"12057"
-3266356;"08156"
-166320;"65482"
-2997983;"10273"
-88576;"68020"
-168181;"38353"
-1826996;"11100"
-77216;"2B229"
-3225863;"24088"
-2773996;"47136"
-76467;"38475"
-935912;"42204"
-279143;"14758"
-144326;"21324"
-25873;"66177"
-93279;"33411"
-2252066;"71326"
-1321718;"77304"
-2966139;"76508"
-157321;"58102"
-2008026;"33181"
-1707907;"54175"
-1079081;"60585"
-75876;"40279"
-1246122;"58202"
-2079910;"2A358"
-121869;"57471"
-7449;"92"
-1180676;"62555"
-1722558;"70098"
-144097;"81014"
-126427;"63123"
-157466;"88337"
-22367;"66083"
-413134;"02195"
-531515;"60201"
-56304;"59007"
-140799;"39367"
-934921;"88351"
-1768874;"33439"
-1368379;"05135"
-2603081;"15030"
-1376040;"06028"
-1060552;"50294"
-255558;"28236"
-279345;"14525"
-2176707;"200012136"
-2665233;"62675"
-2274126;"65109"
-2168781;"244800405"
-1911134;"41195"
-109620;"72265"
-150408;"45146"
-379048;"30020"
